Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
191,Exit short,2026-04-06 14:00,Margin call,4690.635,0.28,1307.2696,-6.37,-0.49,2.39,0.18,-6.24,-0.48,80598.64,80.60
191,Entry short,2026-04-06 13:15,S,4668.82,0.28,1307.2696,-6.37,-0.49,2.39,0.18,-6.24,-0.48,80598.64,80.60
192,Exit short,2026-04-07 05:15,L,4655.84,38.12,177975.4184,459.25,0.26,1975.5,1.11,-1121.75,-0.63,81075.69,81.08
192,Entry short,2026-04-06 13:15,S,4668.82,38.12,177975.4184,459.25,0.26,1975.5,1.11,-1121.75,-0.63,81075.69,81.08
193,Exit long,2026-04-07 05:15,HTF runner,4655.84,19.45,90556.088,-18.11,-0.02,0,0.00,0,0.00,81048.53,81.05
193,Entry long,2026-04-07 05:15,L,4655.84,19.45,90556.088,-18.11,-0.02,0,0.00,0,0.00,81048.53,81.05
194,Exit long,2026-04-07 09:15,S,4685.8,19.44,90509.5296,564.26,0.62,730.45,0.81,-638.23,-0.71,81621.84,81.62
194,Entry long,2026-04-07 05:15,L,4655.84,19.44,90509.5296,564.26,0.62,730.45,0.81,-638.23,-0.71,81621.84,81.62
195,Exit short,2026-04-07 09:15,Margin call,4694.905,0.56,2624.048,-5.62,-0.21,1.33,0.05,-5.36,-0.20,81598.32,81.60
195,Entry short,2026-04-07 09:15,S,4685.8,0.56,2624.048,-5.62,-0.21,1.33,0.05,-5.36,-0.20,81598.32,81.60
196,Exit short,2026-04-07 11:00,2R partial,4645.99,19.37,90763.946,753.04,0.83,762.04,0.84,-185.44,-0.20,82360.45,82.36
196,Entry short,2026-04-07 09:15,S,4685.8,19.37,90763.946,753.04,0.83,762.04,0.84,-185.44,-0.20,82360.45,82.36
197,Exit short,2026-04-07 17:15,L,4667.93,18.82,88186.756,318.71,0.36,1462.34,1.66,-180.17,-0.20,82687.97,82.69
197,Entry short,2026-04-07 09:15,S,4685.8,18.82,88186.756,318.71,0.36,1462.34,1.66,-180.17,-0.20,82687.97,82.69
198,Exit long,2026-04-07 17:15,HTF runner,4667.93,19.57,91351.3901,-18.27,-0.02,0,0.00,0,0.00,82660.57,82.66
198,Entry long,2026-04-07 17:15,L,4667.93,19.57,91351.3901,-18.27,-0.02,0,0.00,0,0.00,82660.57,82.66
199,Exit long,2026-04-07 22:45,2R partial,4795.793,19.56,91304.7108,2482.49,2.72,2491.87,2.73,-279.35,-0.31,85152.19,85.15
199,Entry long,2026-04-07 17:15,L,4667.93,19.56,91304.7108,2482.49,2.72,2491.87,2.73,-279.35,-0.31,85152.19,85.15
200,Exit short,2026-04-08 17:15,Margin call,4762.83,0.08,380.8776,-0.22,-0.06,0,0.00,-0.19,-0.05,85133.49,85.13
200,Entry short,2026-04-08 17:15,S,4760.97,0.08,380.8776,-0.22,-0.06,0,0.00,-0.19,-0.05,85133.49,85.13
201,Exit short,2026-04-09 05:15,L,4713.93,38.8,184725.636,1788.39,0.97,2396.63,1.30,-90.64,-0.05,86940.35,86.94
201,Entry short,2026-04-08 17:15,S,4760.97,38.8,184725.636,1788.39,0.97,2396.63,1.30,-90.64,-0.05,86940.35,86.94
202,Exit long,2026-04-09 05:15,HTF runner,4713.93,19.83,93477.2319,-18.7,-0.02,0,0.00,0,0.00,86912.31,86.91
202,Entry long,2026-04-09 05:15,L,4713.93,19.83,93477.2319,-18.7,-0.02,0,0.00,0,0.00,86912.31,86.91
203,Exit long,2026-04-09 10:15,2R partial,4735.493,19.82,93430.0926,408.65,0.44,418.04,0.45,-214.48,-0.23,87330.31,87.33
203,Entry long,2026-04-09 05:15,L,4713.93,19.82,93430.0926,408.65,0.44,418.04,0.45,-214.48,-0.23,87330.31,87.33
204,Exit short,2026-04-10 05:15,Margin call,4764.07,0.24,1142.4192,-1.19,-0.10,0.23,0.02,-1.07,-0.09,87310.51,87.31
204,Entry short,2026-04-10 05:15,S,4760.08,0.24,1142.4192,-1.19,-0.10,0.23,0.02,-1.07,-0.09,87310.51,87.31
205,Exit short,2026-04-10 09:15,L,4746.92,39.11,186166.7288,477.51,0.26,1128.87,0.61,-382.54,-0.21,87806.63,87.81
205,Entry short,2026-04-10 05:15,S,4760.08,39.11,186166.7288,477.51,0.26,1128.87,0.61,-382.54,-0.21,87806.63,87.81
206,Exit long,2026-04-10 09:15,HTF runner,4746.92,19.78,93894.0776,-18.78,-0.02,0,0.00,0,0.00,87778.46,87.78
206,Entry long,2026-04-10 09:15,L,4746.92,19.78,93894.0776,-18.78,-0.02,0,0.00,0,0.00,87778.46,87.78
207,Exit long,2026-04-10 11:15,2R partial,4761.285,19.78,93894.0776,265.33,0.28,274.75,0.29,-100.18,-0.11,88053.18,88.05
207,Entry long,2026-04-10 09:15,L,4746.92,19.78,93894.0776,265.33,0.28,274.75,0.29,-100.18,-0.11,88053.18,88.05
208,Exit short,2026-04-10 17:15,Margin call,4768.78,0.24,1143.528,-1.21,-0.11,0.65,0.06,-1.09,-0.10,88033.29,88.03
208,Entry short,2026-04-10 17:15,S,4764.7,0.24,1143.528,-1.21,-0.11,0.65,0.06,-1.09,-0.10,88033.29,88.03
209,Exit short,2026-04-12 22:00,2R partial,4670.425,19.73,94007.531,1841.43,1.96,1850.65,1.97,-180.07,-0.19,89884.12,89.88
209,Entry short,2026-04-10 17:15,S,4764.7,19.73,94007.531,1841.43,1.96,1850.65,1.97,-180.07,-0.19,89884.12,89.88
210,Exit short,2026-04-13 17:15,L,4731.025,19.49,92864.003,637.82,0.69,2334.09,2.51,-177.87,-0.19,90531.22,90.53
210,Entry short,2026-04-10 17:15,S,4764.7,19.49,92864.003,637.82,0.69,2334.09,2.51,-177.87,-0.19,90531.22,90.53
211,Exit long,2026-04-13 17:15,Margin call,4731.025,1,4731.025,-0.95,-0.02,0,0.00,-0.47,-0.01,90511.7,90.51
211,Entry long,2026-04-13 17:15,L,4731.025,1,4731.025,-0.95,-0.02,0,0.00,-0.47,-0.01,90511.7,90.51
212,Exit long,2026-04-14 13:30,2R partial,4796.709,20.13,95235.53325,1303.04,1.37,1312.7,1.38,-160.2,-0.17,91824.26,91.82
212,Entry long,2026-04-13 17:15,L,4731.025,20.13,95235.53325,1303.04,1.37,1312.7,1.38,-160.2,-0.17,91824.26,91.82
213,Exit long,2026-04-14 13:30,HTF runner,4800.8,19.14,90551.8185,1317.25,1.45,1326.44,1.46,-152.32,-0.17,93150.56,93.15
213,Entry long,2026-04-13 17:15,L,4731.025,19.14,90551.8185,1317.25,1.45,1326.44,1.46,-152.32,-0.17,93150.56,93.15
214,Exit short,2026-04-15 17:15,Margin call,4808.96,0.64,3070.928,-7.42,-0.24,0,0.00,-7.11,-0.23,93124.14,93.12
214,Entry short,2026-04-15 17:15,S,4798.325,0.64,3070.928,-7.42,-0.24,0,0.00,-7.11,-0.23,93124.14,93.12
215,Exit short,2026-04-15 22:15,L,4792.085,39.6,190013.67,209.13,0.11,394.03,0.21,-440.15,-0.23,93352.27,93.35
215,Entry short,2026-04-15 17:15,S,4798.325,39.6,190013.67,209.13,0.11,394.03,0.21,-440.15,-0.23,93352.27,93.35
216,Exit long,2026-04-15 22:15,2R partial,4798.498,20.17,96656.35445,110.01,0.11,119.68,0.12,-11.99,-0.01,93452.61,93.45
216,Entry long,2026-04-15 22:15,L,4792.085,20.17,96656.35445,110.01,0.11,119.68,0.12,-11.99,-0.01,93452.61,93.45
217,Exit long,2026-04-15 22:15,HTF runner,4800.8,20.17,96656.35445,156.43,0.16,166.12,0.17,-11.99,-0.01,93618.71,93.62
