Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
23,Exit long,2025-12-08 06:15,S,4215.535,1.19,4998.3213,17.16,0.34,21.49,0.43,-2,-0.04,105.46,0.11
23,Entry long,2025-12-08 02:15,L,4200.27,1.19,4998.3213,17.16,0.34,21.49,0.43,-2,-0.04,105.46,0.11
24,Exit short,2025-12-08 13:45,2R partial,4199.66,0.59,2487.16565,8.87,0.36,9.12,0.37,-2.4,-0.10,114.08,0.11
24,Entry short,2025-12-08 06:15,S,4215.535,0.59,2487.16565,8.87,0.36,9.12,0.37,-2.4,-0.10,114.08,0.11
25,Exit short,2025-12-08 15:00,HTF runner,4186.919,0.59,2487.16565,16.39,0.66,16.63,0.67,-2.4,-0.10,130.71,0.13
25,Entry short,2025-12-08 06:15,S,4215.535,0.59,2487.16565,16.39,0.66,16.63,0.67,-2.4,-0.10,130.71,0.13
26,Exit long,2025-12-09 08:30,2R partial,4189.359,0.59,2463.15855,8.07,0.33,8.32,0.34,-0.74,-0.03,138.53,0.14
26,Entry long,2025-12-09 06:15,L,4174.845,0.59,2463.15855,8.07,0.33,8.32,0.34,-0.74,-0.03,138.53,0.14
27,Exit long,2025-12-10 06:15,S,4209.585,0.6,2504.907,20.34,0.81,27.82,1.11,-0.75,-0.03,159.12,0.16
27,Entry long,2025-12-09 06:15,L,4174.845,0.6,2504.907,20.34,0.81,27.82,1.11,-0.75,-0.03,159.12,0.16
28,Exit short,2025-12-10 10:30,2R partial,4189.21,0.59,2483.65515,11.53,0.46,11.77,0.47,-0.69,-0.03,170.4,0.17
28,Entry short,2025-12-10 06:15,S,4209.585,0.59,2483.65515,11.53,0.46,11.77,0.47,-0.69,-0.03,170.4,0.17
29,Exit short,2025-12-10 18:15,L,4199.055,0.59,2483.65515,5.72,0.23,12.6,0.51,-0.69,-0.03,176.37,0.18
29,Entry short,2025-12-10 06:15,S,4209.585,0.59,2483.65515,5.72,0.23,12.6,0.51,-0.69,-0.03,176.37,0.18
30,Exit long,2025-12-10 19:30,2R partial,4187.952,0.59,2477.44245,-7.05,-0.28,12.03,0.49,-6.8,-0.27,169.07,0.17
30,Entry long,2025-12-10 18:15,L,4199.055,0.59,2477.44245,-7.05,-0.28,12.03,0.49,-6.8,-0.27,169.07,0.17
31,Exit long,2025-12-10 19:30,HTF runner,4187.952,0.6,2519.433,-7.17,-0.28,12.23,0.49,-6.91,-0.27,162.16,0.16
31,Entry long,2025-12-10 18:15,L,4199.055,0.6,2519.433,-7.17,-0.28,12.23,0.49,-6.91,-0.27,162.16,0.16
32,Exit short,2025-12-11 02:30,2R partial,4220.998,0.59,2497.97445,7.09,0.28,7.34,0.29,-0.62,-0.02,168.99,0.17
32,Entry short,2025-12-11 02:15,S,4233.855,0.59,2497.97445,7.09,0.28,7.34,0.29,-0.62,-0.02,168.99,0.17
33,Exit short,2025-12-11 06:15,L,4211.07,0.59,2497.97445,12.94,0.52,17.21,0.69,-0.62,-0.02,182.19,0.18
33,Entry short,2025-12-11 02:15,S,4233.855,0.59,2497.97445,12.94,0.52,17.21,0.69,-0.62,-0.02,182.19,0.18
34,Exit long,2025-12-11 06:15,2R partial,4208.15,0.59,2484.5313,-2.22,-0.09,0,0.00,-1.97,-0.08,179.72,0.18
34,Entry long,2025-12-11 06:15,L,4211.07,0.59,2484.5313,-2.22,-0.09,0,0.00,-1.97,-0.08,179.72,0.18
35,Exit long,2025-12-11 06:15,HTF runner,4208.15,0.59,2484.5313,-2.22,-0.09,0,0.00,-1.97,-0.08,177.75,0.18
35,Entry long,2025-12-11 06:15,L,4211.07,0.59,2484.5313,-2.22,-0.09,0,0.00,-1.97,-0.08,177.75,0.18
36,Exit short,2025-12-16 02:45,2R partial,4294.148,0.58,2500.2901,9.19,0.37,9.43,0.38,-1.09,-0.04,186.68,0.19
36,Entry short,2025-12-16 02:15,S,4310.845,0.58,2500.2901,9.19,0.37,9.43,0.38,-1.09,-0.04,186.68,0.19
37,Exit short,2025-12-16 10:15,L,4277.935,0.58,2500.2901,18.59,0.74,22.53,0.90,-1.09,-0.04,205.52,0.21
37,Entry short,2025-12-16 02:15,S,4310.845,0.58,2500.2901,18.59,0.74,22.53,0.90,-1.09,-0.04,205.52,0.21
38,Exit long,2025-12-16 10:15,HTF runner,4277.935,0.59,2523.98165,-0.5,-0.02,0,0.00,0,0.00,204.77,0.20
38,Entry long,2025-12-16 10:15,L,4277.935,0.59,2523.98165,-0.5,-0.02,0,0.00,0,0.00,204.77,0.20
39,Exit long,2025-12-16 11:15,2R partial,4274.022,0.58,2481.2023,-2.77,-0.11,2.14,0.09,-2.52,-0.10,202.25,0.20
39,Entry long,2025-12-16 10:15,L,4277.935,0.58,2481.2023,-2.77,-0.11,2.14,0.09,-2.52,-0.10,202.25,0.20
40,Exit short,2025-12-19 01:00,2R partial,4323.795,0.57,2470.79325,5.74,0.23,5.98,0.24,-1.58,-0.06,207.74,0.21
40,Entry short,2025-12-18 23:15,S,4334.725,0.57,2470.79325,5.74,0.23,5.98,0.24,-1.58,-0.06,207.74,0.21
41,Exit short,2025-12-19 06:15,L,4327.26,0.58,2514.1405,3.83,0.15,14.61,0.58,-1.61,-0.06,211.82,0.21
41,Entry short,2025-12-18 23:15,S,4334.725,0.58,2514.1405,3.83,0.15,14.61,0.58,-1.61,-0.06,211.82,0.21
42,Exit long,2025-12-19 06:15,HTF runner,4327.26,0.58,2509.8108,-0.5,-0.02,0,0.00,0,0.00,211.07,0.21
42,Entry long,2025-12-19 06:15,L,4327.26,0.58,2509.8108,-0.5,-0.02,0,0.00,0,0.00,211.07,0.21
43,Exit long,2025-12-22 00:00,2R partial,4358.282,0.57,2466.5382,17.19,0.70,17.44,0.71,-4.48,-0.18,228.5,0.23
43,Entry long,2025-12-19 06:15,L,4327.26,0.57,2466.5382,17.19,0.70,17.44,0.71,-4.48,-0.18,228.5,0.23
44,Exit short,2025-12-28 23:15,2R partial,4537.716,0.55,2493.35625,-2.89,-0.12,0.5,0.02,-2.64,-0.11,225.37,0.23
44,Entry short,2025-12-28 23:15,S,4533.375,0.55,2493.35625,-2.89,-0.12,0.5,0.02,-2.64,-0.11,225.37,0.23
45,Exit short,2025-12-28 23:15,HTF runner,4537.716,0.55,2493.35625,-2.89,-0.12,0.5,0.02,-2.64,-0.11,222.73,0.22
45,Entry short,2025-12-28 23:15,S,4533.375,0.55,2493.35625,-2.89,-0.12,0.5,0.02,-2.64,-0.11,222.73,0.22
46,Exit long,2025-12-29 02:15,HTF runner,4507.125,0.56,2523.99,-0.5,-0.02,0,0.00,0,0.00,221.98,0.22
46,Entry long,2025-12-29 02:15,L,4507.125,0.56,2523.99,-0.5,-0.02,0,0.00,0,0.00,221.98,0.22
47,Exit long,2025-12-29 06:15,S,4506.075,0.55,2478.91875,-1.07,-0.04,7.17,0.29,-4.1,-0.17,221.15,0.22
47,Entry long,2025-12-29 02:15,L,4507.125,0.55,2478.91875,-1.07,-0.04,7.17,0.29,-4.1,-0.17,221.15,0.22
48,Exit short,2025-12-29 06:45,2R partial,4473.243,0.55,2478.34125,17.56,0.71,17.81,0.72,-0.88,-0.04,238.46,0.24
48,Entry short,2025-12-29 06:15,S,4506.075,0.55,2478.34125,17.56,0.71,17.81,0.72,-0.88,-0.04,238.46,0.24
49,Exit short,2025-12-29 15:00,HTF runner,4352.595,0.56,2523.402,85.45,3.39,85.7,3.40,-0.9,-0.04,324.17,0.32
49,Entry short,2025-12-29 06:15,S,4506.075,0.56,2523.402,85.45,3.39,85.7,3.40,-0.9,-0.04,324.17,0.32
50,Exit long,2026-01-02 03:30,HTF runner,4374.655,0.58,2521.4224,15.37,0.61,15.63,0.62,-1.39,-0.06,339.29,0.34
50,Entry long,2026-01-02 02:15,L,4347.28,0.58,2521.4224,15.37,0.61,15.63,0.62,-1.39,-0.06,339.29,0.34
51,Exit long,2026-01-02 14:15,S,4370.28,0.57,2477.9496,12.61,0.51,31.11,1.26,-1.36,-0.06,352.15,0.35
51,Entry long,2026-01-02 02:15,L,4347.28,0.57,2477.9496,12.61,0.51,31.11,1.26,-1.36,-0.06,352.15,0.35
52,Exit short,2026-01-02 14:30,HTF runner,4352.595,0.57,2491.0596,9.58,0.38,9.83,0.39,-2.32,-0.09,361.49,0.36
52,Entry short,2026-01-02 14:15,S,4370.28,0.57,2491.0596,9.58,0.38,9.83,0.39,-2.32,-0.09,361.49,0.36
